City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,klyuchi,52.2667,79.1667,248.81,84,31,6.42,RU,1702353240
83,cockburn town,21.4612,-71.1419,299.81,82,77,9.75,TC,1702353241
84,crane,31.3974,-102.3501,283.0,36,38,4.97,US,1702353040
85,rongelap,11.1635,166.8941,300.35,79,13,9.35,MH,1702353242
86,banganapalle,15.3167,78.2333,297.95,62,36,3.0,IN,1702353242
87,west island,-12.1568,96.8225,302.14,65,40,4.63,CC,1702353243
88,chyorny yar,48.0624,46.1091,266.73,64,100,10.67,RU,1702353243
89,iskateley,67.6803,53.1512,258.76,92,100,7.04,RU,1702353244
90,ta`u,-14.2336,-169.5144,299.65,88,98,7.63,AS,1702353244
91,yellowknife,62.456,-114.3525,247.9,92,0,3.09,CA,1702353244
92,avarua,-21.2078,-159.775,299.18,83,75,9.26,CK,1702353245
93,udachny,66.4167,112.4,247.89,97,99,3.41,RU,1702353245
94,mount gambier,-37.8333,140.7667,305.6,36,74,1.54,AU,1702353246
95,port saint john's,-31.6229,29.5448,293.76,86,54,2.28,ZA,1702353246
96,niimi,34.9833,133.4667,289.37,93,100,2.81,JP,1702353247
97,filingue,14.3521,3.3168,291.6,31,3,6.83,NE,1702353247
98,huarmey,-10.0681,-78.1522,293.59,84,14,3.29,PE,1702353248
99,punta arenas,-53.15,-70.9167,281.21,76,75,8.75,CL,1702353248
100,pamanukan,-6.2842,107.8106,304.83,57,24,1.66,ID,1702353249
101,nema,57.5067,50.5011,253.69,80,100,6.29,RU,1702353250
102,ust-nera,64.5667,143.2,252.6,98,100,3.68,RU,1702353250
103,praia da vitoria,38.7333,-27.0667,286.29,82,20,5.92,PT,1702353035
104,talnakh,69.4865,88.3972,247.28,98,100,4.57,RU,1702353251
105,nizhneangarsk,55.7833,109.55,252.75,78,53,2.62,RU,1702353251
106,maryborough,-25.5333,152.7,302.51,42,13,5.15,AU,1702353252
107,utrik,11.2278,169.8474,300.21,75,59,9.28,MH,1702353252
108,tobruk,32.0836,23.9764,290.17,74,9,6.07,LY,1702353253
109,carnarvon,-24.8667,113.6333,303.61,36,0,4.54,AU,1702353253
110,whitehorse,60.7161,-135.0538,276.58,60,75,10.8,CA,1702353001
111,porto novo,6.4965,2.6036,300.05,90,0,2.27,BJ,1702353254
112,namdrik,5.5994,168.1028,300.01,86,100,7.06,MH,1702353254
113,freetown,8.484,-13.2299,297.99,83,40,3.09,SL,1702353255
114,atafu village,-8.5421,-172.5159,301.97,79,100,8.89,TK,1702353255
115,ilulissat,69.2167,-51.1,275.16,69,100,6.69,GL,1702353256
116,idri,27.5,13.2667,284.32,43,0,3.53,LY,1702353256
117,adam,22.3756,57.5233,292.08,60,7,1.59,OM,1702353257
118,tsiombe,-25.3,45.4833,300.16,68,100,1.43,MG,1702353257
119,tuy hoa,13.0833,109.3,299.46,76,99,2.85,VN,1702353258
120,thompson,55.7435,-97.8558,258.24,72,40,6.69,CA,1702353258
121,puerto ayora,-0.7393,-90.3518,297.2,88,8,2.54,EC,1702353259
122,uruacu,-14.5247,-49.1408,293.66,86,75,1.02,BR,1702353259
123,aras-asan,8.8908,126.3033,302.01,72,51,3.13,PH,1702353260
124,okhotsk,59.3833,143.3,262.71,93,100,0.34,RU,1702353260
